source,id,title,authors,year,doi,url,venue,abstract,match_mv_abs,match_wean_abs,match_rl_abs,decision
openalex,https://openalex.org/W2937671098,Inverse reinforcement learning for intelligent mechanical ventilation and sedative dosing in intensive care units,Chao Yu; Jiming Liu; Hóngyi Zhào,2019,10.1186/s12911-019-0763-6,https://doi.org/10.1186/s12911-019-0763-6,,"... inverse RL ... decisions on weaning of mechanical ventilation ...",True,True,True,rescue
openalex,https://openalex.org/W2946845352,Defining Admissible Rewards for High Confidence Policy Evaluation,Niranjani Prasad; Barbara E. Engelhardt; Finale Doshi‐Velez,2019,10.48550/arxiv.1905.13167,https://doi.org/10.48550/arxiv.1905.13167,,"... reinforcement learning ... learn a policy for weaning patients from mechanical ventilation.",True,True,True,rescue
openalex,https://openalex.org/W4396578875,Using the Past to Inform the Future: How a Classic Respiratory Physiology Equation Informs Computer-Based Simulators and Clinical Decision Support Systems*,Alon Geva; Dennis Daniel; Alireza Akhondi‐Asl,2024,10.1097/pcc.0000000000003484,https://doi.org/10.1097/pcc.0000000000003484,,"Managing mechanical ventilation ... computerized CDS ... reinforcement learning ... larger ventilator weans ...",True,True,True,rescue
openalex,https://openalex.org/W2193923384,Closed-loop control of anesthesia and mean arterial pressure using reinforcement learning,Regina Padmanabhan; Nader Meskin; Wassim M. Haddad,2015,10.1016/j.bspc.2015.05.013,https://doi.org/10.1016/j.bspc.2015.05.013,,,False,False,False,keep_no_abstract
openalex,https://openalex.org/W3012292446,Defining admissible rewards for high-confidence policy evaluation in batch reinforcement learning,Niranjani Prasad; Barbara E. Engelhardt; Finale Doshi‐Velez,2020,10.1145/3368555.3384450,https://doi.org/10.1145/3368555.3384450,,"... reinforcement learning ... learn a policy for weaning patients from mechanical ventilation.",True,True,True,rescue
openalex,https://openalex.org/W4408846078,Improving Patient-ventilator Synchrony during Pressure Support Ventilation based on Reinforcement Learning Algorithm,Liming Hao; Xiaohan Wang; Shuai Ren; Yan Shi; Maolin Cai; Tao Wang; Zujin Luo,2025,10.1109/jbhi.2025.3551670,https://doi.org/10.1109/jbhi.2025.3551670,,,False,False,False,keep_no_abstract
openalex,https://openalex.org/W4411516597,Advances in Machine Learning for Mechanically Ventilated Patients,Xu Yue; Jingjing Xue; Yunfeng Deng; Lili Tu; Yulong Ding; Yibing Zhang; Xinrui Yuan; Kexin Xu; Liangmei Guo; Na Gao,2025,10.2147/ijgm.s515170,https://doi.org/10.2147/ijgm.s515170,,"... mechanically ventilated patients ... dynamically adjusting ventilator parameters using reinforcement learning ...",True,True,True,rescue
openalex,https://openalex.org/W4200573108,Is artificial intelligence ready to solve mechanical ventilation? Computer says blow,Dominic C. Marshall; Matthieu Komorowski,2021,10.1016/j.bja.2021.10.050,https://doi.org/10.1016/j.bja.2021.10.050,,,False,False,False,keep_no_abstract
openalex,https://openalex.org/W3129685015,Mechanical ventilation strategy for pulmonary rehabilitation based on patient-ventilator interaction,Liming Hao; Xiao Li; Yan Shi; Maolin Cai; Shuai Ren; Fei Xie; YaNa Li; Na Wang; Yixuan Wang; Zujin Luo; Meng Xu,2021,10.1007/s11431-020-1778-8,https://doi.org/10.1007/s11431-020-1778-8,,,False,False,False,keep_no_abstract
openalex,https://openalex.org/W4220804996,ERS International Congress 2021: highlights from the Respiratory Intensive Care Assembly,Aileen Kharat; Carla Ribeiro; Berrin Er; Christoph Fisser; Daniel López‐Padilla; Foteini Chatzivasiloglou; Leo Heunks; Maxime Patout; Rebecca D’Cruz,2022,10.1183/23120541.00016-2022,https://doi.org/10.1183/23120541.00016-2022,,"... noninvasive ventilation ... mechanical ventilation and weaning ...",True,True,False,rescue
openalex,https://openalex.org/W4406599594,Setting the ventilator with AI support: challenges and perspectives,Sebastian Fritsch; Maurizio Cecconi,2025,10.1007/s00134-024-07778-w,https://doi.org/10.1007/s00134-024-07778-w,,,False,False,False,keep_no_abstract
google_scholar,https://ojs.aaai.org/index.php/AAAI/article/view/26862,Towards safe mechanical ventilation treatment using deep offline reinforcement learning,F Kondrup; T Jiralerspong; E Lau,2023,,https://ojs.aaai.org/index.php/AAAI/article/view/26862,,,False,False,False,keep_no_abstract
google_scholar,https://sfucsss.org/MEDIA_URL/mailbox_attachments/2022/08/17/095261ee530a4b0391d0a39d9e7e5c98.pdf,Personalization of Mechanical Ventilation Treatment using Deep Conservative Reinforcement Learning,F Kondrup; T Jiralerspong; E Lau,2021,,https://sfucsss.org/MEDIA_URL/mailbox_attachments/2022/08/17/095261ee530a4b0391d0a39d9e7e5c98.pdf,,,False,False,False,keep_no_abstract
google_scholar,https://link.springer.com/article/10.1186/s12911-021-01712-6,Reinforcement learning assisted oxygen therapy for COVID-19 patients under intensive care,H Zheng; W Xie,2021,,https://link.springer.com/article/10.1186/s12911-021-01712-6,,,False,False,False,keep_no_abstract
google_scholar,https://link.springer.com/article/10.1186/s40635-024-00614-x,Reinforcement learning for intensive care medicine: actionable clinical insights from novel approaches to reward shaping and off-policy model evaluation,LF Roggeveen,2024,,https://link.springer.com/article/10.1186/s40635-024-00614-x,,,False,False,False,keep_no_abstract
google_scholar,https://yunglau.github.io/assets/pdf/DeepVentRLDM.pdf,Deep Conservative Reinforcement Learning for Personalization of Mechanical Ventilation Treatment,T Jiralerspong,,,https://yunglau.github.io/assets/pdf/DeepVentRLDM.pdf,,,False,False,False,keep_no_abstract
google_scholar,https://www.sciencedirect.com/science/article/pii/S0952197623019681,Balancing therapeutic effect and safety in ventilator parameter recommendation: An offline reinforcement learning approach,X Qiu; X Tan,2024,,https://www.sciencedirect.com/science/article/pii/S0952197623019681,,,False,False,False,keep_no_abstract
google_scholar,Optimization of the sepsis treatment in the ICU using Reinforcement Learning,Optimization of the sepsis treatment in the ICU using Reinforcement Learning,SG Carreira,2022,,,,,False,False,False,keep_no_abstract
google_scholar,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2021.608893/full,Patient-specific sedation management via deep reinforcement learning,N Eghbali; T Alhanai; MM Ghassemi,2021,,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2021.608893/full,,,False,False,False,keep_no_abstract
google_scholar,https://link.springer.com/article/10.1007/s13755-025-00364-4,K-cql: an arterial blood gas analysis-based deep offline reinforcement learning algorithm for mechanical ventilation treatment,J Xi; S Dong; H Zhou; Y Zhao,2025,,https://link.springer.com/article/10.1007/s13755-025-00364-4,,,False,False,False,keep_no_abstract
google_scholar,https://www.nature.com/articles/s41746-022-00708-4,An interpretable RL framework for pre-deployment modeling in ICU hypotension management,H Wang; J Du; AR Arévalo,2022,,https://www.nature.com/articles/s41746-022-00708-4,,,False,False,False,keep_no_abstract
google_scholar,https://journals.lww.com/ccmjournal/fulltext/2024/02000/does_reinforcement_learning_improve_outcomes_for.29.aspx,Does reinforcement learning improve outcomes for critically ill patients? A systematic review and level-of-readiness assessment,M Otten,2024,,https://journals.lww.com/ccmjournal/fulltext/2024/02000/does_reinforcement_learning_improve_outcomes_for.29.aspx,,,False,False,False,keep_no_abstract
google_scholar,https://pmc.ncbi.nlm.nih.gov/articles/PMC7233064/,Interpretable batch IRL to extract clinician goals in ICU hypotension management,F Doshi-Velez,2020,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7233064/,,,False,False,False,keep_no_abstract
google_scholar,https://studenttheses.uu.nl/bitstream/handle/20.500.12932/30672/Nikki%20Doorhof%20-%20final%20thesis.pdf?sequence=2,Using reinforcement learning to improve clinical decision making in neonatal care,DJ Doorhof,2018,,https://studenttheses.uu.nl/bitstream/handle/20.500.12932/30672/Nikki%20Doorhof%20-%20final%20thesis.pdf?sequence=2,,,False,False,False,keep_no_abstract
google_scholar,https://www.sciencedirect.com/science/article/pii/S1746809415000920,Closed-loop control of anesthesia and mean arterial pressure using reinforcement learning,R Padmanabhan; N Meskin; WM Haddad,2015,,https://www.sciencedirect.com/science/article/pii/S1746809415000920,,,False,False,False,keep_no_abstract
google_scholar,https://www.medrxiv.org/content/10.1101/2024.03.20.24304653.abstract,Machine Learning Model Utilization for Mortality Prediction in Mechanically Ventilated ICU Patients,M Pishgar,2024,,https://www.medrxiv.org/content/10.1101/2024.03.20.24304653.abstract,,,False,False,False,keep_no_abstract
google_scholar,https://www.sciencedirect.com/science/article/pii/S2352914824001187,Deep learning model utilization for mortality prediction in mechanically ventilated ICU patients,N Ashrafi,2024,,https://www.sciencedirect.com/science/article/pii/S2352914824001187,,,False,False,False,keep_no_abstract
google_scholar,https://pubsonline.informs.org/doi/abs/10.1287/ijds.2022.0015,Adapting reinforcement learning treatment policies using limited data to personalize critical care,M Baucum; A Khojandi,2022,,https://pubsonline.informs.org/doi/abs/10.1287/ijds.2022.0015,,,False,False,False,keep_no_abstract
google_scholar,https://link.springer.com/chapter/10.1007/978-3-030-59137-3_3,Controlling level of unconsciousness by titrating propofol with deep reinforcement learning,G Schamberg,2020,,https://link.springer.com/chapter/10.1007/978-3-030-59137-3_3,,,False,False,False,keep_no_abstract
arxiv,http://arxiv.org/abs/1905.13167v1,Defining Admissible Rewards for High Confidence Policy Evaluation,Niranjani Prasad; Barbara E Engelhardt; Finale Doshi-Velez,2019,,http://arxiv.org/abs/1905.13167v1,arXiv,"... reinforcement learning ... learn a policy for weaning patients from mechanical ventilation.",True,True,True,rescue
